trading_date,sector,sentiment_score,covered_tickers,total_tickers,headline_count,coverage_ratio,score_100,lagged_sentiment_score,lagged_score_100,sentiment_z,sentiment_z_21d_mean
2020-01-09,Healthcare,0.09542666666666667,3,5,8,0.6,54.77133333333334,0.1542911111111111,57.714555555555556,,
2020-01-09,Industrials,0.033716666666666666,5,5,9,1.0,51.68583333333333,0.007459999999999999,50.373000000000005,,
2020-01-09,Materials,0.025453333333333335,3,5,6,0.6,51.272666666666666,-0.05763999999999999,47.118,,
2020-01-09,RealEstate,0.0,1,5,1,0.2,50.0,-0.03612,48.193999999999996,,
2020-01-09,Tech,0.11834133333333333,5,5,17,1.0,55.91706666666667,0.0660945,53.304725,,
2020-01-09,Utilities,0.059199999999999996,4,5,5,0.8,52.959999999999994,0.16784000000000002,58.391999999999996,,
2020-01-10,Comm,0.028676666666666673,4,5,8,0.8,51.43383333333333,0.16018,58.009,,
2020-01-10,Consumer,0.004144000000000004,5,5,15,1.0,50.20719999999999,0.29552198412698416,64.77609920634922,,
2020-01-10,Energy,0.07240200000000001,5,5,15,1.0,53.6201,0.084928,54.24640000000001,,
2020-01-10,Financials,0.13161499999999998,3,5,7,0.6,56.58075,0.2842653333333333,64.21326666666667,,
2020-01-10,Healthcare,0.24778000000000003,5,5,12,1.0,62.389,0.09542666666666667,54.77133333333334,,
2020-01-10,Industrials,0.05552999999999999,3,5,8,0.6,52.776500000000006,0.033716666666666666,51.68583333333333,,
2020-01-10,Materials,-0.08571999999999999,4,5,4,0.8,45.714,0.025453333333333335,51.272666666666666,,
2020-01-10,RealEstate,-0.08412,5,5,6,1.0,45.794000000000004,0.0,50.0,,
2020-01-10,Tech,0.23887400000000003,4,5,21,0.8,61.9437,0.11834133333333333,55.91706666666667,,
2020-01-10,Utilities,0.12489666666666666,4,5,7,0.8,56.24483333333333,0.059199999999999996,52.959999999999994,,
2020-01-13,Comm,0.0006191666666666678,2,5,14,0.4,50.03095833333333,0.028676666666666673,51.43383333333333,,
2020-01-13,Consumer,0.08938814285714285,5,5,29,1.0,54.46940714285714,0.004144000000000004,50.20719999999999,,
2020-01-13,Energy,0.1350735,5,5,19,1.0,56.753675,0.07240200000000001,53.6201,,
2020-01-13,Financials,0.20283357142857145,5,5,33,1.0,60.14167857142857,0.13161499999999998,56.58075,,
2020-01-13,Healthcare,0.1354475,5,5,24,1.0,56.772375,0.24778000000000003,62.389,,
2020-01-13,Industrials,0.059236666666666674,4,5,10,0.8,52.96183333333333,0.05552999999999999,52.776500000000006,,
2020-01-13,Materials,0.13194,2,5,4,0.4,56.596999999999994,-0.08571999999999999,45.714,,
2020-01-13,RealEstate,0.047893333333333336,1,5,3,0.2,52.394666666666666,-0.08412,45.794000000000004,,
2020-01-13,Tech,0.20887675,5,5,39,1.0,60.4438375,0.23887400000000003,61.9437,,
2020-01-13,Utilities,0.005279999999999999,4,5,6,0.8,50.263999999999996,0.12489666666666666,56.24483333333333,,
2020-01-14,Comm,0.03452,2,5,4,0.4,51.726000000000006,0.0006191666666666678,50.03095833333333,,
2020-01-14,Consumer,0.037224999999999994,5,5,19,1.0,51.861250000000005,0.08938814285714285,54.46940714285714,,
2020-01-14,Energy,0.2138183333333333,5,5,23,1.0,60.69091666666666,0.1350735,56.753675,,
2020-01-14,Financials,0.038833095238095236,5,5,38,1.0,51.941654761904765,0.20283357142857145,60.14167857142857,,
2020-01-14,Healthcare,0.2258,4,5,9,0.8,61.29,0.1354475,56.772375,,
2020-01-14,Industrials,0.089663,3,5,10,0.6,54.48315,0.059236666666666674,52.96183333333333,,
2020-01-14,Materials,0.0168,2,5,4,0.4,50.839999999999996,0.13194,56.596999999999994,,
2020-01-14,RealEstate,0.029599999999999998,1,5,2,0.2,51.480000000000004,0.047893333333333336,52.394666666666666,,
2020-01-14,Tech,0.13791199999999998,3,5,12,0.6,56.8956,0.20887675,60.4438375,,
2020-01-14,Utilities,0.17563,3,5,5,0.6,58.781499999999994,0.005279999999999999,50.263999999999996,,
2020-01-15,Comm,0.00041833333333333165,3,5,9,0.6,50.02091666666667,0.03452,51.726000000000006,,
2020-01-15,Consumer,0.09794838095238095,4,5,27,0.8,54.897419047619046,0.037224999999999994,51.861250000000005,,
2020-01-15,Energy,0.10894666666666666,5,5,13,1.0,55.44733333333334,0.2138183333333333,60.69091666666666,,
2020-01-15,Financials,0.06551358730158731,5,5,36,1.0,53.27567936507936,0.038833095238095236,51.941654761904765,,
2020-01-15,Healthcare,0.13796,3,5,12,0.6,56.898,0.2258,61.29,,
2020-01-15,Industrials,-0.07338499999999998,4,5,10,0.8,46.330749999999995,0.089663,54.48315,,
2020-01-15,Materials,0.06919333333333334,2,5,4,0.4,53.45966666666667,0.0168,50.839999999999996,,
2020-01-15,RealEstate,0.010115,2,5,7,0.4,50.505750000000006,0.029599999999999998,51.480000000000004,,
2020-01-15,Tech,0.041753666666666675,5,5,24,1.0,52.08768333333333,0.13791199999999998,56.8956,,
2020-01-15,Utilities,0.09257000000000001,4,5,10,0.8,54.6285,0.17563,58.781499999999994,,
2020-01-16,Comm,0.11389,4,5,17,0.8,55.694500000000005,0.00041833333333333165,50.02091666666667,,
2020-01-16,Consumer,0.17120114285714289,4,5,19,0.8,58.56005714285715,0.09794838095238095,54.897419047619046,,
2020-01-16,Energy,0.10285428571428572,3,5,13,0.6,55.14271428571429,0.10894666666666666,55.44733333333334,,
2020-01-16,Financials,0.16727596581196583,5,5,46,1.0,58.36379829059829,0.06551358730158731,53.27567936507936,,
2020-01-16,Healthcare,0.10014500000000001,4,5,8,0.8,55.00725,0.13796,56.898,,
2020-01-16,Industrials,0.10313333333333334,2,5,4,0.4,55.156666666666666,-0.07338499999999998,46.330749999999995,,
2020-01-16,Materials,0.08808,4,5,4,0.8,54.403999999999996,0.06919333333333334,53.45966666666667,,
2020-01-16,RealEstate,0.1486,3,5,3,0.6,57.43000000000001,0.010115,50.505750000000006,,
2020-01-16,Tech,0.19834888888888885,4,5,19,0.8,59.91744444444444,0.041753666666666675,52.08768333333333,,
2020-01-16,Utilities,0.12244833333333334,4,5,11,0.8,56.122416666666666,0.09257000000000001,54.6285,,
2020-01-17,Comm,0.038040000000000004,3,5,8,0.6,51.902,0.11389,55.694500000000005,,
2020-01-17,Consumer,0.08010533333333332,5,5,23,1.0,54.005266666666664,0.17120114285714289,58.56005714285715,,
2020-01-17,Energy,0.12678799999999998,4,5,31,0.8,56.3394,0.10285428571428572,55.14271428571429,,
2020-01-17,Financials,0.11717999999999999,5,5,17,1.0,55.859,0.16727596581196583,58.36379829059829,,
2020-01-17,Healthcare,0.12024333333333333,3,5,11,0.6,56.012166666666666,0.10014500000000001,55.00725,,
2020-01-17,Industrials,0.19876333333333335,4,5,12,0.8,59.93816666666667,0.10313333333333334,55.156666666666666,,
2020-01-17,Materials,0.18836,3,5,5,0.6,59.418000000000006,0.08808,54.403999999999996,,
2020-01-17,RealEstate,0.07486,2,5,3,0.4,53.742999999999995,0.1486,57.43000000000001,,
2020-01-17,Tech,0.07352436896436897,5,5,38,1.0,53.67621844821845,0.19834888888888885,59.91744444444444,,
2020-01-17,Utilities,0.15105022222222222,5,5,17,1.0,57.552511111111116,0.12244833333333334,56.122416666666666,,
2020-01-21,Comm,-0.022039999999999997,4,5,19,0.8,48.898,0.038040000000000004,51.902,,
2020-01-21,Consumer,0.07543189393939394,5,5,51,1.0,53.77159469696969,0.08010533333333332,54.005266666666664,,
2020-01-21,Energy,0.12878442857142858,4,5,28,0.8,56.43922142857143,0.12678799999999998,56.3394,,
2020-01-21,Financials,0.1872577777777778,5,5,29,1.0,59.36288888888889,0.11717999999999999,55.859,,
2020-01-21,Healthcare,0.09057404761904761,5,5,21,1.0,54.528702380952375,0.12024333333333333,56.012166666666666,,
2020-01-21,Industrials,0.1046862857142857,5,5,16,1.0,55.234314285714284,0.19876333333333335,59.93816666666667,,
2020-01-21,Materials,0.010085999999999998,4,5,11,0.8,50.5043,0.18836,59.418000000000006,,
2020-01-21,RealEstate,0.05172,3,5,7,0.6,52.586,0.07486,53.742999999999995,,
2020-01-21,Tech,0.03334866666666667,5,5,44,1.0,51.667433333333335,0.07352436896436897,53.67621844821845,,
2020-01-21,Utilities,0.17614000000000002,5,5,15,1.0,58.806999999999995,0.15105022222222222,57.552511111111116,,
2020-01-22,Comm,0.10965,3,5,4,0.6,55.4825,-0.022039999999999997,48.898,,
2020-01-22,Consumer,0.09683257142857142,5,5,32,1.0,54.84162857142857,0.07543189393939394,53.77159469696969,,
2020-01-22,Energy,0.12528666666666666,4,5,11,0.8,56.26433333333334,0.12878442857142858,56.43922142857143,,
2020-01-22,Financials,0.01531,3,5,4,0.6,50.765499999999996,0.1872577777777778,59.36288888888889,,
2020-01-22,Healthcare,0.06533249999999999,4,5,13,0.8,53.266625,0.09057404761904761,54.528702380952375,,
2020-01-22,Industrials,-0.01411142857142857,3,5,12,0.6,49.294428571428575,0.1046862857142857,55.234314285714284,,
2020-01-22,Materials,-0.059199999999999996,3,5,4,0.6,47.04,0.010085999999999998,50.5043,,
2020-01-22,RealEstate,0.033240000000000006,3,5,7,0.6,51.662,0.05172,52.586,,
2020-01-22,Tech,0.148628,4,5,14,0.8,57.4314,0.03334866666666667,51.667433333333335,,
2020-01-22,Utilities,0.12954916666666666,4,5,18,0.8,56.47745833333333,0.17614000000000002,58.806999999999995,,
2020-01-23,Comm,0.19783685714285712,5,5,22,1.0,59.891842857142855,0.10965,55.4825,,
2020-01-23,Consumer,0.12347166666666667,5,5,22,1.0,56.17358333333333,0.09683257142857142,54.84162857142857,,
2020-01-23,Energy,0.05676333333333333,5,5,17,1.0,52.838166666666666,0.12528666666666666,56.26433333333334,,
2020-01-23,Financials,0.032470000000000006,5,5,14,1.0,51.6235,0.01531,50.765499999999996,,
2020-01-23,Healthcare,0.020309999999999998,5,5,20,1.0,51.0155,0.06533249999999999,53.266625,,
