asset_family,base_fund,enhanced_fund,base_annualised_return,enhanced_annualised_return,delta_annualised_return,base_volatility,enhanced_volatility,delta_volatility,base_sharpe,enhanced_sharpe,delta_sharpe,base_max_drawdown,enhanced_max_drawdown,delta_max_drawdown
Equity,NexaVest Equity Minimum Variance,NexaVest Equity Minimum Variance + Sentiment,0.06225081234358809,0.05910992706579066,-0.003140885277797434,0.12573281987904653,0.12634865588800429,0.0006158360089577597,0.543185028588763,0.5177142447801343,-0.025470783808628772,-0.15392748657696087,-0.1658414817171573,-0.01191399514019642
Combined,NexaVest Combined Minimum Variance,NexaVest Combined Minimum Variance + Sentiment,0.06342650435803066,0.06024608979000701,-0.0031804145680236484,0.12588251125573688,0.12647600408231185,0.0005934928265749762,0.551479554512844,0.5258007982200777,-0.02567875629276628,-0.15529805379244666,-0.16726124450162838,-0.011963190709181726
