trading_date,ticker,sector,n_headlines,plain_sentiment,sentiment_score,positive_share,negative_share,neutral_share,finance_phrase_hits,score_100
2020-01-02,ABBV,Healthcare,3,0.1468,0.1468,0.3333333333333333,0.0,0.6666666666666666,0,57.34
2020-01-02,ABT,Healthcare,4,0.3243,0.3243,0.75,0.0,0.25,0,66.215
2020-01-02,AMD,Tech,13,0.17636153846153846,0.17636153846153846,0.38461538461538464,0.0,0.6153846153846154,0,58.81807692307692
2020-01-02,AMGN,Healthcare,7,0.17748571428571427,0.17748571428571427,0.5714285714285714,0.2857142857142857,0.14285714285714285,0,58.87428571428571
2020-01-02,AMT,RealEstate,2,0.03620000000000001,0.03620000000000001,0.5,0.5,0.0,0,51.81
2020-01-02,BA,Industrials,5,0.059199999999999996,0.059199999999999996,0.2,0.0,0.8,0,52.959999999999994
2020-01-02,CAT,Industrials,1,0.3612,0.3612,1.0,0.0,0.0,0,68.06
2020-01-02,COP,Energy,1,0.2732,0.2732,1.0,0.0,0.0,0,63.660000000000004
2020-01-02,CVX,Energy,2,0.1366,0.1366,0.5,0.0,0.5,0,56.830000000000005
2020-01-02,DD,Materials,2,0.2628,0.2628,0.5,0.0,0.5,0,63.13999999999999
2020-01-02,DIS,Consumer,7,0.05871428571428572,0.06110000000000001,0.2857142857142857,0.2857142857142857,0.42857142857142855,0,53.055
2020-01-02,DOW,Materials,3,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,EA,Comm,3,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,GE,Industrials,4,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,GILD,Healthcare,3,0.11333333333333334,0.11333333333333334,0.3333333333333333,0.0,0.6666666666666666,0,55.666666666666664
2020-01-02,GS,Financials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,INTC,Tech,5,0.20246,0.20526,0.4,0.0,0.6,0,60.263
2020-01-02,KO,Consumer,4,-0.0702,-0.0702,0.0,0.25,0.75,0,46.489999999999995
2020-01-02,MMM,Industrials,2,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,MRK,Healthcare,6,0.31553333333333333,0.31553333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,65.77666666666666
2020-01-02,MS,Financials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,NEE,Utilities,1,0.6369,0.6369,1.0,0.0,0.0,0,81.845
2020-01-02,NEM,Materials,2,0.28595,0.28595,0.5,0.0,0.5,0,64.2975
2020-01-02,NKE,Consumer,4,-0.105375,-0.105375,0.0,0.25,0.75,0,44.73125
2020-01-02,NVDA,Tech,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,O,RealEstate,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,OXY,Energy,6,0.3428333333333333,0.3428333333333333,0.8333333333333334,0.0,0.16666666666666666,0,67.14166666666667
2020-01-02,QCOM,Tech,6,-0.07086666666666668,-0.04740000000000002,0.16666666666666666,0.3333333333333333,0.5,0,47.63
2020-01-02,SBUX,Consumer,3,-0.26776666666666665,-0.26776666666666665,0.0,0.6666666666666666,0.3333333333333333,0,36.611666666666665
2020-01-02,SLB,Energy,4,0.0683,0.0683,0.25,0.0,0.75,0,53.415
2020-01-02,T,Comm,5,0.2768,0.2768,0.8,0.0,0.2,0,63.839999999999996
2020-01-02,TMUS,Comm,2,0.1591,0.1591,0.5,0.0,0.5,0,57.955
2020-01-02,TTWO,Comm,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,UPS,Industrials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,USB,Financials,2,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-02,V,Financials,3,0.3862666666666667,0.3862666666666667,0.6666666666666666,0.0,0.3333333333333333,0,69.31333333333333
2020-01-02,WFC,Financials,5,0.14966,0.14966,0.6,0.0,0.4,0,57.483
2020-01-02,WMT,Consumer,4,0.039900000000000005,0.025249999999999995,0.25,0.25,0.5,0,51.2625
2020-01-02,XOM,Energy,8,0.141375,0.141375,0.5,0.125,0.375,0,57.06875
2020-01-03,AMD,Tech,8,0.1907125,0.1907125,0.625,0.0,0.375,0,59.535625
2020-01-03,AMT,RealEstate,3,-0.16990000000000002,-0.16990000000000002,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,41.504999999999995
2020-01-03,BA,Industrials,1,-0.3182,-0.3182,0.0,1.0,0.0,0,34.089999999999996
2020-01-03,CAT,Industrials,2,-0.18455,-0.18455,0.5,0.5,0.0,0,40.7725
2020-01-03,CCI,RealEstate,1,-0.3182,-0.3182,0.0,1.0,0.0,0,34.089999999999996
2020-01-03,CMCSA,Comm,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-03,COP,Energy,2,-0.23870000000000002,-0.23870000000000002,0.5,0.5,0.0,0,38.065
2020-01-03,CVX,Energy,4,-0.055175,-0.055175,0.25,0.25,0.5,0,47.24125
2020-01-03,DIS,Consumer,4,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-03,DUK,Utilities,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-03,GE,Industrials,2,0.10774999999999998,0.10774999999999998,0.5,0.5,0.0,0,55.3875
2020-01-03,GILD,Healthcare,4,0.198575,0.198575,0.75,0.0,0.25,0,59.928749999999994
2020-01-03,INTC,Tech,7,0.20162857142857143,0.20162857142857143,0.7142857142857143,0.0,0.2857142857142857,0,60.081428571428575
2020-01-03,KO,Consumer,1,-0.7906,-0.7906,0.0,1.0,0.0,0,10.470000000000002
2020-01-03,MMM,Industrials,2,-0.2294,-0.2294,0.0,0.5,0.5,0,38.53
2020-01-03,MRK,Healthcare,2,0.2202,0.2202,0.5,0.0,0.5,0,61.01
2020-01-03,MS,Financials,2,0.3548,0.3548,0.5,0.0,0.5,0,67.74
2020-01-03,NEE,Utilities,3,0.2817,0.2817,0.6666666666666666,0.0,0.3333333333333333,0,64.08500000000001
2020-01-03,NEM,Materials,2,-0.5233,-0.5233,0.0,1.0,0.0,0,23.835
2020-01-03,NKE,Consumer,2,-0.148,-0.148,0.0,0.5,0.5,0,42.6
2020-01-03,NUE,Materials,1,0.3818,0.3818,1.0,0.0,0.0,0,69.08999999999999
2020-01-03,NVDA,Tech,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-03,OXY,Energy,5,-0.19426000000000002,-0.19426000000000002,0.2,0.4,0.4,0,40.287
2020-01-03,PSA,RealEstate,1,0.296,0.296,1.0,0.0,0.0,0,64.8
2020-01-03,QCOM,Tech,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-03,SLB,Energy,6,0.10085,0.10085,0.5,0.16666666666666666,0.3333333333333333,0,55.0425
2020-01-03,T,Comm,2,0.27115,0.27115,0.5,0.0,0.5,0,63.5575
2020-01-03,V,Financials,4,-0.102525,-0.102525,0.25,0.25,0.5,0,44.87375
2020-01-03,WFC,Financials,2,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-03,WMT,Consumer,3,0.06743333333333333,0.06743333333333333,0.3333333333333333,0.0,0.6666666666666666,0,53.37166666666666
2020-01-03,XOM,Energy,11,0.15633636363636363,0.1475,0.5454545454545454,0.18181818181818182,0.2727272727272727,0,57.375
2020-01-06,ABBV,Healthcare,2,0.10115,0.10115,0.5,0.0,0.5,0,55.057500000000005
2020-01-06,ABT,Healthcare,1,0.4939,0.4939,1.0,0.0,0.0,0,74.695
2020-01-06,ADBE,Tech,2,-0.41925,-0.41925,0.0,1.0,0.0,0,29.037499999999998
2020-01-06,AMD,Tech,6,0.06670000000000001,0.06670000000000001,0.3333333333333333,0.16666666666666666,0.5,0,53.335
2020-01-06,AMGN,Healthcare,2,0.3481,0.3481,1.0,0.0,0.0,0,67.405
2020-01-06,BA,Industrials,9,0.07211111111111111,0.07211111111111111,0.4444444444444444,0.1111111111111111,0.4444444444444444,0,53.605555555555554
2020-01-06,CAT,Industrials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-06,CCI,RealEstate,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-06,CMCSA,Comm,8,0.09106249999999999,0.09106249999999999,0.375,0.125,0.5,0,54.553125
2020-01-06,COP,Energy,3,0.09106666666666667,0.09106666666666667,0.3333333333333333,0.0,0.6666666666666666,0,54.553333333333335
2020-01-06,CVX,Energy,4,0.0876,0.0876,0.5,0.0,0.5,0,54.379999999999995
2020-01-06,D,Utilities,2,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-06,DD,Materials,1,-0.4019,-0.4019,0.0,1.0,0.0,0,29.905000000000005
2020-01-06,DIS,Consumer,16,0.084775,0.083675,0.5,0.1875,0.3125,0,54.183749999999996
2020-01-06,DOW,Materials,2,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-06,DUK,Utilities,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-06,EA,Comm,2,0.1909,0.1909,0.5,0.0,0.5,0,59.545
2020-01-06,GE,Industrials,4,0.148475,0.148475,0.5,0.0,0.5,0,57.42375
2020-01-06,GILD,Healthcare,2,0.58365,0.5445,1.0,0.0,0.0,0,77.225
2020-01-06,GS,Financials,1,0.4588,0.128,1.0,0.0,0.0,0,56.400000000000006
2020-01-06,INTC,Tech,3,-0.031233333333333325,-0.031233333333333325,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,48.43833333333333
2020-01-06,KO,Consumer,4,0.2263,0.2263,0.5,0.0,0.5,0,61.315
2020-01-06,MRK,Healthcare,5,0.1091,0.1091,0.4,0.0,0.6,0,55.455
2020-01-06,MS,Financials,2,0.5081,0.3427,1.0,0.0,0.0,0,67.135
2020-01-06,NEE,Utilities,2,0.31845,0.31845,0.5,0.0,0.5,0,65.9225
2020-01-06,NEM,Materials,5,0.12283999999999999,0.12283999999999999,0.4,0.0,0.6,0,56.142
2020-01-06,NKE,Consumer,3,0.020233333333333325,0.020233333333333325,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,51.01166666666666
2020-01-06,NUE,Materials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-06,NVDA,Tech,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-06,OXY,Energy,11,0.06608181818181819,0.06608181818181819,0.6363636363636364,0.18181818181818182,0.18181818181818182,0,53.30409090909091
2020-01-06,PLD,RealEstate,1,0.296,0.296,1.0,0.0,0.0,0,64.8
2020-01-06,PSA,RealEstate,2,0.148,0.148,0.5,0.0,0.5,0,57.4
2020-01-06,QCOM,Tech,1,0.3182,0.3182,1.0,0.0,0.0,0,65.91
2020-01-06,SBUX,Consumer,4,0.13935,0.13935,0.25,0.0,0.75,0,56.9675
2020-01-06,SLB,Energy,8,0.0662,0.0662,0.5,0.125,0.375,0,53.31
2020-01-06,SO,Utilities,1,-0.2732,-0.2732,0.0,1.0,0.0,0,36.34
2020-01-06,T,Comm,6,0.2394666666666667,0.2394666666666667,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,61.973333333333336
2020-01-06,USB,Financials,5,0.0023800000000000045,0.0023800000000000045,0.4,0.2,0.4,0,50.119
2020-01-06,V,Financials,2,0.2053,0.2053,0.5,0.5,0.0,0,60.265
2020-01-06,WFC,Financials,2,0.24695,0.24695,0.5,0.0,0.5,0,62.3475
2020-01-06,WMT,Consumer,17,0.06328823529411765,0.06328823529411765,0.35294117647058826,0.11764705882352941,0.5294117647058824,0,53.164411764705875
2020-01-06,XOM,Energy,8,0.11624999999999999,0.11624999999999999,0.25,0.125,0.625,0,55.8125
2020-01-07,ABBV,Healthcare,5,0.36258,0.36258,0.8,0.0,0.2,0,68.12899999999999
2020-01-07,ABT,Healthcare,3,0.3551666666666667,0.3551666666666667,1.0,0.0,0.0,0,67.75833333333333
2020-01-07,AMD,Tech,8,0.009425,0.009425,0.25,0.25,0.5,0,50.47125
2020-01-07,AMGN,Healthcare,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,AMT,RealEstate,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,BA,Industrials,7,0.05862857142857143,0.05862857142857143,0.2857142857142857,0.14285714285714285,0.5714285714285714,0,52.931428571428576
2020-01-07,CAT,Industrials,4,0.1643,0.1643,0.5,0.0,0.5,0,58.214999999999996
2020-01-07,CMCSA,Comm,1,0.8779,0.8779,1.0,0.0,0.0,0,93.895
2020-01-07,CVX,Energy,3,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,DD,Materials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,DIS,Consumer,8,0.05778749999999999,0.05778749999999999,0.375,0.25,0.375,0,52.889374999999994
2020-01-07,GE,Industrials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,GILD,Healthcare,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,GS,Financials,5,0.059199999999999996,0.059199999999999996,0.2,0.0,0.8,0,52.959999999999994
2020-01-07,INTC,Tech,7,-0.03221428571428571,-0.03221428571428571,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,48.38928571428571
2020-01-07,KO,Consumer,4,0.15794999999999998,0.15794999999999998,0.5,0.0,0.5,0,57.8975
2020-01-07,MRK,Healthcare,5,-0.17456,-0.19346000000000002,0.0,0.4,0.6,0,40.327
2020-01-07,MS,Financials,1,0.4404,0.4404,1.0,0.0,0.0,0,72.02
2020-01-07,NEM,Materials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,NKE,Consumer,1,0.3818,0.3818,1.0,0.0,0.0,0,69.08999999999999
2020-01-07,NVDA,Tech,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,O,RealEstate,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,OXY,Energy,6,0.03364999999999999,0.006066666666666674,0.16666666666666666,0.3333333333333333,0.5,0,50.303333333333335
2020-01-07,QCOM,Tech,5,0.059199999999999996,0.059199999999999996,0.2,0.0,0.8,0,52.959999999999994
2020-01-07,SBUX,Consumer,4,0.050575,0.050575,0.25,0.0,0.75,0,52.52875
2020-01-07,SHW,Materials,1,0.3818,0.3818,1.0,0.0,0.0,0,69.08999999999999
2020-01-07,SO,Utilities,1,0.6369,0.6369,1.0,0.0,0.0,0,81.845
2020-01-07,T,Comm,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,TMUS,Comm,3,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,UPS,Industrials,1,-0.1027,-0.1027,0.0,1.0,0.0,0,44.865
2020-01-07,V,Financials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-07,WFC,Financials,4,0.0625,0.0625,0.25,0.0,0.75,0,53.125
2020-01-07,WMT,Consumer,5,0.08808,0.08808,0.2,0.0,0.8,0,54.403999999999996
2020-01-07,XOM,Energy,3,0.2044,0.2044,0.6666666666666666,0.0,0.3333333333333333,0,60.22
2020-01-08,ABBV,Healthcare,3,0.23786666666666667,0.23786666666666667,0.6666666666666666,0.0,0.3333333333333333,0,61.89333333333333
2020-01-08,ADBE,Tech,2,0.17,0.1806,0.5,0.0,0.5,0,59.03
2020-01-08,AEP,Utilities,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-08,AMD,Tech,10,0.16605999999999999,0.16605999999999999,0.5,0.0,0.5,0,58.303
2020-01-08,AMT,RealEstate,2,0.17,0.1806,0.5,0.0,0.5,0,59.03
2020-01-08,BA,Industrials,7,0.061028571428571425,0.03729999999999999,0.2857142857142857,0.14285714285714285,0.5714285714285714,0,51.864999999999995
2020-01-08,CCI,RealEstate,1,-0.3716,-0.3612,0.0,1.0,0.0,0,31.94
2020-01-08,CMCSA,Comm,4,0.48755,0.48755,1.0,0.0,0.0,0,74.3775
2020-01-08,COP,Energy,4,-0.006374999999999992,-0.006374999999999992,0.5,0.25,0.25,0,49.68125
2020-01-08,CVX,Energy,3,0.09106666666666667,0.09106666666666667,0.3333333333333333,0.0,0.6666666666666666,0,54.553333333333335
2020-01-08,D,Utilities,1,0.6369,0.6369,1.0,0.0,0.0,0,81.845
2020-01-08,DD,Materials,2,-0.43394999999999995,-0.43394999999999995,0.0,1.0,0.0,0,28.302500000000002
2020-01-08,DIS,Consumer,7,0.21910000000000002,0.21910000000000002,0.5714285714285714,0.0,0.42857142857142855,0,60.955000000000005
2020-01-08,EA,Comm,2,0.148,0.148,0.5,0.0,0.5,0,57.4
2020-01-08,GE,Industrials,3,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-08,GILD,Healthcare,1,0.4939,0.4939,1.0,0.0,0.0,0,74.695
2020-01-08,GS,Financials,1,0.7845,0.7845,1.0,0.0,0.0,0,89.225
2020-01-08,INTC,Tech,8,0.013712500000000002,-0.0161875,0.25,0.125,0.625,0,49.190625
2020-01-08,KO,Consumer,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-08,MMM,Industrials,2,0.0,0.0,0.5,0.5,0.0,0,50.0
2020-01-08,MRK,Healthcare,9,0.03968888888888888,0.03968888888888888,0.4444444444444444,0.3333333333333333,0.2222222222222222,0,51.98444444444444
2020-01-08,MS,Financials,2,0.39225,0.39225,0.5,0.0,0.5,0,69.6125
2020-01-08,NEM,Materials,4,0.23475,0.14575,0.25,0.25,0.5,0,57.2875
2020-01-08,OXY,Energy,6,0.11828333333333334,0.11828333333333334,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,55.91416666666667
2020-01-08,QCOM,Tech,2,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-08,SBUX,Consumer,2,0.05135,0.05135,0.5,0.0,0.5,0,52.5675
2020-01-08,SLB,Energy,2,-0.43394999999999995,-0.43394999999999995,0.0,1.0,0.0,0,28.302500000000002
2020-01-08,SO,Utilities,1,0.2023,0.2023,1.0,0.0,0.0,0,60.114999999999995
2020-01-08,T,Comm,10,0.03286,0.03286,0.2,0.1,0.7,0,51.642999999999994
2020-01-08,TMUS,Comm,4,0.10350000000000001,0.10350000000000001,0.75,0.25,0.0,0,55.175
2020-01-08,V,Financials,1,0.2263,0.2263,1.0,0.0,0.0,0,61.315
2020-01-08,WMT,Consumer,6,0.0166,0.0166,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,50.83
2020-01-08,XOM,Energy,2,0.1366,0.1366,0.5,0.0,0.5,0,56.830000000000005
2020-01-09,ADBE,Tech,2,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,AEP,Utilities,1,0.296,0.296,1.0,0.0,0.0,0,64.8
2020-01-09,AMD,Tech,6,0.21905,0.2477,0.6666666666666666,0.0,0.3333333333333333,0,62.385000000000005
2020-01-09,AMGN,Healthcare,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,AMT,RealEstate,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,BA,Industrials,2,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,CAT,Industrials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,CMCSA,Comm,2,0.5049,0.5049,1.0,0.0,0.0,0,75.245
2020-01-09,CVX,Energy,1,0.2732,0.2732,1.0,0.0,0.0,0,63.660000000000004
2020-01-09,D,Utilities,2,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,DD,Materials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,DIS,Consumer,4,0.48072499999999996,0.48072499999999996,1.0,0.0,0.0,0,74.03625000000001
2020-01-09,DOW,Materials,2,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,EA,Comm,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,GE,Industrials,2,0.10115,0.10115,0.5,0.0,0.5,0,55.057500000000005
2020-01-09,GILD,Healthcare,4,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,GS,Financials,1,0.5574,0.5574,1.0,0.0,0.0,0,77.86999999999999
2020-01-09,INTC,Tech,5,0.13999999999999999,0.24533999999999997,0.6,0.0,0.4,0,62.266999999999996
2020-01-09,KO,Consumer,2,0.29205,0.29205,1.0,0.0,0.0,0,64.60249999999999
2020-01-09,MMM,Industrials,3,0.06743333333333333,0.06743333333333333,0.3333333333333333,0.0,0.6666666666666666,0,53.37166666666666
2020-01-09,MRK,Healthcare,3,0.47713333333333335,0.47713333333333335,0.6666666666666666,0.0,0.3333333333333333,0,73.85666666666667
2020-01-09,MS,Financials,5,-0.04762,0.06606000000000001,0.4,0.0,0.6,0,53.303
2020-01-09,NEE,Utilities,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,NEM,Materials,3,0.12726666666666667,0.12726666666666667,0.3333333333333333,0.0,0.6666666666666666,0,56.36333333333333
2020-01-09,NKE,Consumer,3,0.3197666666666667,0.3197666666666667,0.6666666666666666,0.0,0.3333333333333333,0,65.98833333333334
2020-01-09,NVDA,Tech,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,OXY,Energy,2,-0.18769999999999998,-0.18769999999999998,0.5,0.5,0.0,0,40.615
2020-01-09,QCOM,Tech,3,0.09866666666666667,0.09866666666666667,0.3333333333333333,0.0,0.6666666666666666,0,54.93333333333334
2020-01-09,SBUX,Consumer,7,0.21212857142857142,0.27245714285714284,0.5714285714285714,0.14285714285714285,0.2857142857142857,0,63.622857142857136
2020-01-09,SLB,Energy,2,0.10600000000000001,0.11660000000000001,0.5,0.5,0.0,0,55.83
2020-01-09,SO,Utilities,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,T,Comm,1,0.296,0.296,1.0,0.0,0.0,0,64.8
2020-01-09,TMUS,Comm,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,TTWO,Comm,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,UPS,Industrials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,USB,Financials,1,0.0,0.0,0.0,0.0,1.0,0,50.0
2020-01-09,V,Financials,3,0.35746666666666665,0.35746666666666665,0.6666666666666666,0.0,0.3333333333333333,0,67.87333333333333
2020-01-09,WFC,Financials,1,0.4404,0.4404,1.0,0.0,0.0,0,72.02
2020-01-09,WMT,Consumer,9,0.11261111111111112,0.11261111111111112,0.3333333333333333,0.0,0.6666666666666666,0,55.63055555555556
2020-01-09,XOM,Energy,5,0.22254000000000002,0.22254000000000002,0.8,0.2,0.0,0,61.126999999999995
2020-01-10,ABBV,Healthcare,3,0.027899999999999998,0.027899999999999998,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,51.395
2020-01-10,ABT,Healthcare,1,0.4939,0.4939,1.0,0.0,0.0,0,74.695
2020-01-10,ADBE,Tech,4,0.148,0.148,0.5,0.0,0.5,0,57.4
2020-01-10,AMD,Tech,6,0.45416666666666666,0.4416333333333333,0.8333333333333334,0.0,0.16666666666666666,0,72.08166666666666
2020-01-10,AMGN,Healthcare,3,0.32926666666666665,0.32926666666666665,0.6666666666666666,0.0,0.3333333333333333,0,66.46333333333332
2020-01-10,AMT,RealEstate,1,-0.3612,-0.3612,0.0,1.0,0.0,0,31.94
2020-01-10,BA,Industrials,4,0.09104999999999999,0.09104999999999999,0.5,0.25,0.25,0,54.5525
